	id	name	energy	duration_ms	track_href	album_image
45	7KXjTSCq5nL1LoYtL7XAwS	HUMBLE.	0.621	177000.0	https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS	https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
46	3LlAyCYU26dvFZBDUIMb7a	Demons	0.71	175200.0	https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a	https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a
47	7ef4DlsgrMEH11cDZd32M6	One Kiss (with Dua Lipa)	0.862	214847.0	https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6	https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108
48	7GX5flRQZVHRAGd6B4TmDO	XO Tour Llif3	0.75	182707.0	https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO	https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c
49	4ZtFanR9U6ndgddUvNcjcG	good 4 u	0.664	178147.0	https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG	https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
50	3AJwUDP919kvQ9QcozQPxg	Yellow	0.661	266773.0	https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg	https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
51	62vpWI1CHwFy7tMIcSStl8	No Role Modelz	0.521	292987.0	https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8	https://i.scdn.co/image/ab67616d0000b2736aca031ccc27d2e4dd829d14
52	5wANPM4fQCJwkGd4rN57mH	drivers license	0.431	242013.0	https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH	https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
53	5Z01UMMf7V1o0MzF86s6WJ	Lose Yourself	0.744	326467.0	https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ	https://i.scdn.co/image/ab67616d0000b273eab40fc794b88b9d1e012578
54	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	0.73	312820.0	https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h	https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
55	1rtDwblY1CJ9i490fMzJnc	Treat You Better	0.797	187973.0	https://api.spotify.com/v1/tracks/1rtDwblY1CJ9i490fMzJnc	https://i.scdn.co/image/ab67616d0000b273ac0c799031070926bc225b81
56	2dpaYNEQHiRxtZbfNsse99	Happier	0.792	214290.0	https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99	https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa
57	2ekn2ttSfGqwhhate0LSR0	New Rules	0.7	209320.0	https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0	https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc
58	3jfr0TF6DQcOLat8gGn7E2	Do I Wanna Know?	0.532	272394.0	https://api.spotify.com/v1/tracks/3jfr0TF6DQcOLat8gGn7E2	https://i.scdn.co/image/ab67616d0000b2734f669de38690faf2cf88c245
59	0lYBSQXN6rCTvUZvg9S0lU	Let Me Love You	0.716	205947.0	https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU	https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc
60	2LBqCSwhJGcFQeTHMVGwy3	Die For You	0.525	260253.0	https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3	https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
61	1rfofaqEpACxVEHIZBJe6W	Havana (feat. Young Thug)	0.523	217307.0	https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W	https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4
62	7oK9VyNzrYvRFo7nQEYkWN	Mr. Brightside	0.924	222587.0	https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN	https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49
63	5nujrmhLynf4yMoMtj8AQF	Levitating (feat. DaBaby)	0.825	203064.0	https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF	https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4
